,0
171,3.092
172,3.092
173,3.092
174,3.092
175,3.092
176,3.092
177,3.092
178,3.092
179,3.092
180,3.092
181,3.096
182,3.096
183,3.096
184,3.096
185,3.096
186,3.096
187,3.096
188,3.096
189,3.096
190,3.096
191,3.096
192,3.096
193,3.096
194,3.096
195,3.096
196,3.096
197,3.096
198,3.096
199,3.096
200,3.096
201,3.096
202,3.096
203,3.1
204,3.1
205,3.1
206,3.1
207,3.1
208,3.1
209,3.1
210,3.1
211,3.1
212,3.1
213,3.1
214,3.1
215,3.1
216,3.1
217,3.1
218,3.1
219,3.1
220,3.1
221,3.1
222,3.1
223,3.1
224,3.1
225,3.1
226,3.1
227,3.1
228,3.104
229,3.104
230,3.104
231,3.104
232,3.104
233,3.104
234,3.104
235,3.104
236,3.104
237,3.104
238,3.104
239,3.104
240,3.104
241,3.104
242,3.104
243,3.104
244,3.104
245,3.104
246,3.104
247,3.104
248,3.104
249,3.104
250,3.104
251,3.104
252,3.108
253,3.108
254,3.108
255,3.108
256,3.108
257,3.108
258,3.108
259,3.108
260,3.108
261,3.108
262,3.108
263,3.108
264,3.108
265,3.108
266,3.108
267,3.108
268,3.108
269,3.108
270,3.108
271,3.112
272,3.112
273,3.112
274,3.112
275,3.112
276,3.112
277,3.112
278,3.112
279,3.112
280,3.112
281,3.112
282,3.112
283,3.112
284,3.112
285,3.112
286,3.112
287,3.112
288,3.112
289,3.112
290,3.112
291,3.112
292,3.112
293,3.112
294,3.112
295,3.112
296,3.112
297,3.116
298,3.116
299,3.116
300,3.116
301,3.116
302,3.116
303,3.116
304,3.116
305,3.116
306,3.116
307,3.116
308,3.116
309,3.116
310,3.116
311,3.116
312,3.116
313,3.116
314,3.116
315,3.116
316,3.116
317,3.116
318,3.12
319,3.12
320,3.12
321,3.12
322,3.12
323,3.12
324,3.12
325,3.12
326,3.12
327,3.12
328,3.12
329,3.12
330,3.12
331,3.12
332,3.12
333,3.12
334,3.12
335,3.12
336,3.12
337,3.12
338,3.12
339,3.12
340,3.12
341,3.12
342,3.12
343,3.12
344,3.12
345,3.12
346,3.12
347,3.12
348,3.12
349,3.12
350,3.12
351,3.12
352,3.12
353,3.12
354,3.12
355,3.12
356,3.12
357,3.124
358,3.124
359,3.124
360,3.124
361,3.124
362,3.124
363,3.124
364,3.124
365,3.124
366,3.124
367,3.124
368,3.124
369,3.124
370,3.124
371,3.124
372,3.124
373,3.124
374,3.124
375,3.124
376,3.124
377,3.124
378,3.124
379,3.124
380,3.124
381,3.124
382,3.124
383,3.124
384,3.124
385,3.124
386,3.124
387,3.124
388,3.128
389,3.128
390,3.128
391,3.128
392,3.128
393,3.128
394,3.128
395,3.128
396,3.128
397,3.128
398,3.128
399,3.128
400,3.128
401,3.128
402,3.128
403,3.128
404,3.128
405,3.128
406,3.128
407,3.128
408,3.128
409,3.128
410,3.128
411,3.128
412,3.128
413,3.128
414,3.128
415,3.128
416,3.128
417,3.128
418,3.128
419,3.128
420,3.132
421,3.132
422,3.132
423,3.132
424,3.132
425,3.132
426,3.132
427,3.132
428,3.132
429,3.132
430,3.132
431,3.132
432,3.132
433,3.132
434,3.132
435,3.132
436,3.132
437,3.132
438,3.132
439,3.132
440,3.132
441,3.132
442,3.132
443,3.132
444,3.132
445,3.132
446,3.132
447,3.132
448,3.132
449,3.132
450,3.136
451,3.136
452,3.136
453,3.136
454,3.136
455,3.136
456,3.136
457,3.136
458,3.136
459,3.136
460,3.136
461,3.136
462,3.136
463,3.136
464,3.136
465,3.136
466,3.136
467,3.136
468,3.136
469,3.136
470,3.136
471,3.14
472,3.14
473,3.14
474,3.14
475,3.14
476,3.14
477,3.14
478,3.14
479,3.14
480,3.14
481,3.14
482,3.14
483,3.14
484,3.14
485,3.14
486,3.14
487,3.14
488,3.14
489,3.14
490,3.14
491,3.14
492,3.14
493,3.14
494,3.14
495,3.14
496,3.14
497,3.14
498,3.14
499,3.14
500,3.14
501,3.14
502,3.14
503,3.14
504,3.14
505,3.14
506,3.14
507,3.14
508,3.14
509,3.14
510,3.14
511,3.14
512,3.144
513,3.144
514,3.144
515,3.144
516,3.144
517,3.144
518,3.144
519,3.144
520,3.144
521,3.144
522,3.144
523,3.144
524,3.144
525,3.144
526,3.144
527,3.144
528,3.144
529,3.144
530,3.144
531,3.144
532,3.144
533,3.144
534,3.144
535,3.144
536,3.144
537,3.144
538,3.144
539,3.144
540,3.144
541,3.144
542,3.144
543,3.144
544,3.144
545,3.144
546,3.144
547,3.144
548,3.148
549,3.148
550,3.148
551,3.148
552,3.148
553,3.148
554,3.148
555,3.148
556,3.148
557,3.148
558,3.148
559,3.148
560,3.148
561,3.148
562,3.148
563,3.148
564,3.148
565,3.148
566,3.148
567,3.148
568,3.148
569,3.148
570,3.148
571,3.148
572,3.148
573,3.148
574,3.148
575,3.148
576,3.148
577,3.148
578,3.152
579,3.152
580,3.152
581,3.152
582,3.152
583,3.152
584,3.152
585,3.152
586,3.152
587,3.152
