,0
216,3.104
217,3.104
218,3.104
219,3.104
220,3.104
221,3.104
222,3.104
223,3.104
224,3.104
225,3.104
226,3.104
227,3.104
228,3.104
229,3.104
230,3.104
231,3.104
232,3.104
233,3.104
234,3.104
235,3.104
236,3.104
237,3.104
238,3.104
239,3.104
240,3.104
241,3.104
242,3.108
243,3.108
244,3.108
245,3.108
246,3.108
247,3.108
248,3.108
249,3.108
250,3.108
251,3.108
252,3.108
253,3.108
254,3.108
255,3.108
256,3.108
257,3.108
258,3.108
259,3.108
260,3.108
261,3.108
262,3.108
263,3.108
264,3.108
265,3.108
266,3.112
267,3.112
268,3.112
269,3.112
270,3.112
271,3.112
272,3.112
273,3.112
274,3.112
275,3.112
276,3.112
277,3.112
278,3.112
279,3.112
280,3.112
281,3.112
282,3.112
283,3.112
284,3.112
285,3.112
286,3.112
287,3.112
288,3.112
289,3.112
290,3.112
291,3.112
292,3.116
293,3.116
294,3.116
295,3.116
296,3.116
297,3.116
298,3.116
299,3.116
300,3.116
301,3.116
302,3.116
303,3.116
304,3.116
305,3.116
306,3.116
307,3.116
308,3.116
309,3.116
310,3.116
311,3.116
312,3.116
313,3.116
314,3.116
315,3.116
316,3.116
317,3.116
318,3.116
319,3.116
320,3.116
321,3.116
322,3.12
323,3.12
324,3.12
325,3.12
326,3.12
327,3.12
328,3.12
329,3.12
330,3.12
331,3.12
332,3.12
333,3.12
334,3.12
335,3.12
336,3.12
337,3.12
338,3.12
339,3.12
340,3.12
341,3.12
342,3.12
343,3.12
344,3.12
345,3.12
346,3.124
347,3.124
348,3.124
349,3.124
350,3.124
351,3.124
352,3.124
353,3.124
354,3.124
355,3.124
356,3.124
357,3.124
358,3.124
359,3.124
360,3.124
361,3.124
362,3.124
363,3.124
364,3.124
365,3.124
366,3.124
367,3.128
368,3.128
369,3.128
370,3.128
371,3.128
372,3.128
373,3.128
374,3.128
375,3.128
376,3.128
377,3.128
378,3.128
379,3.128
380,3.128
381,3.128
382,3.128
383,3.128
384,3.128
385,3.132
386,3.132
387,3.132
388,3.132
389,3.132
390,3.132
391,3.132
392,3.132
393,3.132
394,3.132
395,3.132
396,3.132
397,3.132
398,3.132
399,3.132
400,3.132
401,3.132
402,3.132
403,3.132
404,3.132
405,3.132
406,3.132
407,3.132
408,3.132
409,3.132
410,3.132
411,3.136
412,3.136
413,3.136
414,3.136
415,3.136
416,3.136
417,3.136
418,3.136
419,3.136
420,3.136
421,3.136
422,3.136
423,3.136
424,3.136
425,3.136
426,3.136
427,3.136
428,3.136
429,3.136
430,3.136
431,3.136
432,3.136
433,3.136
434,3.136
435,3.136
436,3.136
437,3.136
438,3.136
439,3.136
440,3.136
441,3.136
442,3.136
443,3.136
444,3.136
445,3.136
446,3.14
447,3.14
448,3.14
449,3.14
450,3.14
451,3.14
452,3.14
453,3.14
454,3.14
455,3.14
456,3.14
457,3.14
458,3.14
459,3.14
460,3.14
461,3.14
462,3.14
463,3.14
464,3.14
465,3.14
466,3.14
467,3.14
468,3.14
469,3.14
470,3.14
471,3.14
472,3.14
473,3.14
474,3.14
475,3.14
476,3.14
477,3.144
478,3.144
479,3.144
480,3.144
481,3.144
482,3.144
483,3.144
484,3.144
485,3.144
486,3.144
487,3.144
488,3.144
489,3.144
490,3.144
491,3.144
492,3.144
493,3.144
494,3.144
495,3.144
496,3.144
497,3.144
498,3.144
499,3.144
500,3.144
501,3.144
502,3.144
503,3.144
504,3.144
505,3.144
506,3.144
507,3.144
508,3.144
509,3.144
510,3.144
511,3.144
512,3.144
513,3.148
514,3.148
515,3.148
516,3.148
517,3.148
518,3.148
519,3.148
520,3.148
521,3.148
522,3.148
523,3.148
524,3.148
525,3.148
526,3.148
527,3.148
528,3.148
529,3.148
530,3.148
531,3.148
532,3.148
533,3.148
534,3.148
535,3.148
536,3.148
537,3.148
538,3.148
539,3.148
540,3.148
541,3.148
542,3.148
543,3.148
544,3.148
545,3.148
