,0
181,3.092
182,3.092
183,3.092
184,3.092
185,3.092
186,3.092
187,3.092
188,3.092
189,3.092
190,3.096
191,3.096
192,3.096
193,3.096
194,3.096
195,3.096
196,3.096
197,3.096
198,3.096
199,3.096
200,3.096
201,3.096
202,3.096
203,3.096
204,3.096
205,3.096
206,3.096
207,3.096
208,3.1
209,3.1
210,3.1
211,3.1
212,3.1
213,3.1
214,3.1
215,3.1
216,3.1
217,3.1
218,3.1
219,3.1
220,3.1
221,3.1
222,3.1
223,3.1
224,3.1
225,3.1
226,3.1
227,3.1
228,3.1
229,3.1
230,3.1
231,3.1
232,3.104
233,3.104
234,3.104
235,3.104
236,3.104
237,3.104
238,3.104
239,3.104
240,3.104
241,3.104
242,3.104
243,3.104
244,3.104
245,3.104
246,3.104
247,3.104
248,3.104
249,3.104
250,3.104
251,3.104
252,3.104
253,3.104
254,3.108
255,3.108
256,3.108
257,3.108
258,3.108
259,3.108
260,3.108
261,3.108
262,3.108
263,3.108
264,3.108
265,3.108
266,3.108
267,3.108
268,3.108
269,3.108
270,3.108
271,3.108
272,3.108
273,3.108
274,3.108
275,3.108
276,3.108
277,3.108
278,3.108
279,3.108
280,3.108
281,3.112
282,3.112
283,3.112
284,3.112
285,3.112
286,3.112
287,3.112
288,3.112
289,3.112
290,3.112
291,3.112
292,3.112
293,3.112
294,3.112
295,3.112
296,3.112
297,3.112
298,3.112
299,3.112
300,3.112
301,3.112
302,3.112
303,3.112
304,3.112
305,3.116
306,3.116
307,3.116
308,3.116
309,3.116
310,3.116
311,3.116
312,3.116
313,3.116
314,3.116
315,3.116
316,3.116
317,3.116
318,3.116
319,3.116
320,3.116
321,3.116
322,3.116
323,3.116
324,3.116
325,3.116
326,3.116
327,3.116
328,3.116
329,3.116
330,3.116
331,3.116
332,3.116
333,3.116
334,3.116
335,3.12
336,3.12
337,3.12
338,3.12
339,3.12
340,3.12
341,3.12
342,3.12
343,3.12
344,3.12
345,3.12
346,3.12
347,3.12
348,3.12
349,3.12
350,3.12
351,3.12
352,3.12
353,3.12
354,3.12
355,3.12
356,3.12
357,3.12
358,3.12
359,3.12
360,3.12
361,3.12
362,3.12
363,3.12
364,3.124
365,3.124
366,3.124
367,3.124
368,3.124
369,3.124
370,3.124
371,3.124
372,3.124
373,3.124
374,3.124
375,3.124
376,3.124
377,3.124
378,3.124
379,3.124
380,3.124
381,3.124
382,3.124
383,3.124
384,3.124
385,3.124
386,3.124
387,3.124
388,3.124
389,3.124
390,3.124
391,3.124
392,3.124
393,3.124
394,3.128
395,3.128
396,3.128
397,3.128
398,3.128
399,3.128
400,3.128
401,3.128
402,3.128
403,3.128
404,3.128
405,3.128
406,3.128
407,3.128
408,3.128
409,3.128
410,3.128
411,3.128
412,3.128
413,3.128
414,3.128
415,3.128
416,3.132
417,3.132
418,3.132
419,3.132
420,3.132
421,3.132
422,3.132
423,3.132
424,3.132
425,3.132
426,3.132
427,3.132
428,3.132
429,3.132
430,3.132
431,3.132
432,3.132
433,3.132
434,3.132
435,3.132
436,3.132
437,3.132
438,3.132
439,3.132
440,3.132
441,3.132
442,3.132
443,3.132
444,3.132
445,3.132
446,3.132
447,3.136
448,3.136
449,3.136
450,3.136
451,3.136
452,3.136
453,3.136
454,3.136
455,3.136
456,3.136
457,3.136
458,3.136
459,3.136
460,3.136
461,3.136
462,3.136
463,3.136
464,3.136
465,3.136
466,3.136
467,3.136
468,3.136
469,3.136
470,3.136
471,3.136
472,3.136
473,3.14
474,3.14
475,3.14
476,3.14
477,3.14
478,3.14
479,3.14
480,3.14
481,3.14
482,3.14
483,3.14
484,3.14
485,3.14
486,3.14
487,3.14
488,3.14
489,3.14
490,3.14
491,3.14
492,3.14
493,3.14
494,3.14
495,3.14
496,3.14
497,3.14
498,3.14
499,3.14
500,3.14
501,3.14
502,3.144
503,3.144
504,3.144
505,3.144
506,3.144
507,3.144
508,3.144
509,3.144
510,3.144
511,3.144
512,3.144
513,3.144
514,3.144
515,3.144
516,3.144
517,3.144
518,3.144
519,3.144
520,3.144
521,3.144
522,3.144
523,3.144
524,3.144
525,3.144
526,3.144
527,3.144
528,3.144
529,3.144
530,3.144
531,3.144
532,3.144
533,3.144
534,3.144
535,3.148
536,3.148
537,3.148
538,3.148
539,3.148
540,3.148
541,3.148
542,3.148
543,3.148
544,3.148
545,3.148
546,3.148
547,3.148
548,3.148
549,3.148
550,3.148
551,3.148
552,3.148
553,3.148
554,3.148
555,3.148
556,3.148
557,3.148
558,3.148
559,3.148
560,3.148
561,3.148
562,3.148
563,3.148
564,3.148
565,3.152
566,3.152
567,3.152
568,3.152
569,3.152
570,3.152
571,3.152
572,3.152
573,3.152
574,3.152
