,pi-val
139,3.132429614181439
140,3.132437619961612
141,3.132437619961612
142,3.132437619961612
143,3.132437619961612
144,3.132437619961612
145,3.132437619961612
146,3.132437619961612
147,3.1324503311258276
148,3.1324503311258276
149,3.1324599708879184
150,3.1324675324675324
151,3.1324675324675324
152,3.1324675324675324
153,3.1324675324675324
154,3.1324786324786325
155,3.1324786324786325
156,3.1324786324786325
157,3.1325301204819276
158,3.1325301204819276
159,3.1325301204819276
160,3.1325301204819276
161,3.1325301204819276
162,3.1325301204819276
163,3.1325301204819276
164,3.1325301204819276
165,3.1325301204819276
166,3.1325301204819276
167,3.1325301204819276
168,3.1325301204819276
169,3.1325301204819276
170,3.1325301204819276
171,3.1325301204819276
172,3.1325301204819276
173,3.1325301204819276
174,3.1325301204819276
175,3.1325301204819276
176,3.1325301204819276
177,3.1325301204819276
178,3.1325301204819276
179,3.1325301204819276
180,3.1325301204819276
181,3.1325301204819276
182,3.1325301204819276
183,3.1325301204819276
184,3.1325301204819276
185,3.1325301204819276
186,3.1325301204819276
187,3.1325301204819276
188,3.1325301204819276
189,3.1325301204819276
190,3.1325301204819276
191,3.1325301204819276
192,3.1325301204819276
193,3.1325301204819276
194,3.1325301204819276
195,3.1325301204819276
196,3.1325301204819276
197,3.1325301204819276
198,3.1325301204819276
199,3.1325301204819276
200,3.1325301204819276
201,3.1325301204819276
202,3.1325301204819276
203,3.1325301204819276
204,3.1325301204819276
205,3.1325301204819276
206,3.1325301204819276
207,3.1325301204819276
208,3.1325301204819276
209,3.1325301204819276
210,3.1325301204819276
211,3.1325301204819276
212,3.1325301204819276
213,3.1325301204819276
214,3.1325301204819276
215,3.1325301204819276
216,3.1325301204819276
217,3.1325301204819276
218,3.1325301204819276
219,3.132579650565262
220,3.132579650565262
221,3.132579650565262
222,3.132579650565262
223,3.1325842696629214
224,3.1325842696629214
225,3.1325842696629214
226,3.1325842696629214
227,3.1325898389095417
228,3.1325898389095417
229,3.1325898389095417
230,3.1325898389095417
231,3.132596685082873
232,3.132596685082873
233,3.132596685082873
234,3.1326053042121687
235,3.1326053042121687
236,3.1326053042121687
237,3.1326053042121687
238,3.1326053042121687
239,3.1326053042121687
240,3.1326053042121687
241,3.132616487455197
242,3.132631578947368
243,3.132631578947368
244,3.132631578947368
245,3.132631578947368
246,3.132631578947368
247,3.132631578947368
248,3.132631578947368
249,3.132631578947368
250,3.132631578947368
251,3.132641291810842
252,3.13265306122449
253,3.13265306122449
254,3.13265306122449
255,3.13265306122449
256,3.13265306122449
257,3.13265306122449
258,3.13265306122449
259,3.13265306122449
260,3.13265306122449
261,3.13265306122449
262,3.13265306122449
263,3.1326676176890156
264,3.1326676176890156
265,3.1326676176890156
266,3.1326676176890156
267,3.132686084142395
268,3.132686084142395
269,3.132686084142395
270,3.132686084142395
271,3.132686084142395
272,3.132686084142395
273,3.132686084142395
274,3.132686084142395
275,3.132686084142395
276,3.132686084142395
277,3.132686084142395
278,3.132686084142395
279,3.132686084142395
280,3.132701421800948
281,3.132701421800948
282,3.132701421800948
283,3.132701421800948
284,3.132701421800948
285,3.132701421800948
286,3.1327102803738316
287,3.1327102803738316
288,3.1327102803738316
289,3.132720105124836
290,3.132720105124836
291,3.132720105124836
292,3.132720105124836
293,3.132720105124836
294,3.132720105124836
295,3.132725430597771
296,3.132725430597771
297,3.132725430597771
298,3.1327433628318584
299,3.1327433628318584
300,3.1327433628318584
301,3.1327433628318584
302,3.1327433628318584
303,3.1327433628318584
304,3.1327433628318584
305,3.1327433628318584
306,3.1327433628318584
307,3.1327433628318584
308,3.1327433628318584
309,3.1327433628318584
310,3.1327649208282584
