pi-val,count,,,mean(xi),3.1350097565854,,,,,
Xi,Fi,XiFi,Xi-X’,(Xi-X’)^2,Fi*(Xi-X’)^2,,,fi,xi,normal
3.12019230769231,27,84.2451923076924,-0.01481744887623,0.0002195567912,0.005928033362391,0.000125410522347,,43,3.142201835,227.6783195
3.12020460358056,83,258.976982097186,-0.01480515298798,0.000219192554997,0.018192982064792,0.000125436918721,,68,3.14221219,234.521895
3.12021857923497,23,71.7650273224043,-0.01479117733357,0.000218778926913,0.005031915319002,0.000125349827554,,31,3.142222222,241.2625287
3.12023460410557,92,287.061583577712,-0.01477515246297,0.000218305130304,0.020084071987969,0.000125386600864,,74,3.142231947,247.8983587
3.12024665981501,40,124.8098663926,-0.01476309675353,0.000217949025754,0.008717961030163,0.000125315803291,,35,3.142241379,254.4279823
3.12025316455696,31,96.7278481012658,-0.01475659201158,0.000217757007796,0.006750467241683,0.000125277249225,,76,3.142250531,260.850409
3.12026002166847,38,118.569880823402,-0.01474973490007,0.000217554679622,0.008267077825649,0.000125258066448,,27,3.142259414,267.1650158
3.12027491408935,125,390.034364261169,-0.01473484247919,0.000217115582887,0.027139447860817,0.000125285783794,,77,3.142268041,273.3715072
3.12029161603888,27,84.2478736330498,-0.01471814052966,0.000216623660651,0.005848838837572,0.000125188996041,,16,3.142276423,279.4698785
3.1203007518797,41,127.932330827068,-0.01470900468884,0.000216354818936,0.008870547576389,0.000125178388526,,67,3.142284569,285.4603825
3.12031047865459,32,99.8499353169469,-0.01469927791395,0.000216068771192,0.006914200678129,0.000125139930505,,40,3.142300195,297.1199064
3.12033195020747,164,511.734439834025,-0.01467780636107,0.000215437999573,0.035331831929982,0.000125169457638,,39,3.142314991,308.3561605
3.12035010940919,30,93.6105032822757,-0.01465964715935,0.000214905254837,0.006447157645099,0.000125081979998,,39,3.14232902,319.1776719
3.12035661218425,42,131.054977711739,-0.01465314438429,0.000214714640347,0.009018014894568,0.000125068585253,,35,3.142342342,329.5947889
3.12037037037037,85,265.231481481481,-0.01463938619817,0.000214311628259,0.01821648840203,0.000125077722926,,47,3.142355009,339.619175
3.12038523274478,47,146.658105939005,-0.01462452382376,0.000213876697072,0.010052204762371,0.000125018521374,,25,3.142367067,349.2634014
3.12039312039312,33,102.972972972973,-0.01461663617542,0.000213646053085,0.007050319751792,0.000124974704337,,43,3.142378559,358.5406205
3.12041884816754,204,636.565445026178,-0.014590908401,0.000212894607966,0.043430500025139,0.000124978170096,,37,3.142389525,367.4643065
3.12044198895028,31,96.7337016574587,-0.01456776761826,0.00021221985338,0.006578815454768,0.000124916742059,,34,3.1424,376.048051
3.12044817927171,40,124.817927170868,-0.01456157729683,0.000212039533372,0.008481581334862,0.000124899750922,,33,3.142410016,384.305403
3.12045889101338,37,115.456978967495,-0.01455086555516,0.000211727688404,0.00783392447096,0.000124868467598,,41,3.142419602,392.249746
